market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
TX-DFW-DALLAS,Dallas Core,Dallas,UT Southwestern Medical Center; Baylor University Medical Center; Parkland Health,TX,Core Metro,Downtown and uptown academic medical center concentration with DART limited suburban reach
TX-DFW-EAST,East Dallas Metro,Garland,Baylor Scott & White; Texas Health Resources,TX,Suburban,Mesquite and Garland serving eastern suburbs separate from downtown by I-635 and Trinity River friction
TX-DFW-FORTWORTH,Fort Worth Core,Fort Worth,Texas Health Resources; JPS Health Network,TX,Core Metro,Separate from Dallas with 30+ miles distance and distinct healthcare culture despite TRE commuter rail
TX-DFW-IRVING,DFW Airport Corridor,Irving,Baylor Scott & White,TX,Suburban,Airport and Las Colinas business district creating separate market from both Dallas and Fort Worth cores
TX-DFW-NORTH,North Dallas Metro,Plano,Medical City Healthcare; Texas Health Presbyterian,TX,Suburban,Richardson Plano Frisco corridor 40+ miles from downtown serving Collin County sprawl
TX-DFW-TARRANT,Tarrant County Suburbs,Grapevine,Texas Health Resources,TX,Suburban,Northern Tarrant suburbs including Southlake and Keller separate from Fort Worth core by I-820 friction
TX-ELPASO,Far West Texas,El Paso,The Hospitals of Providence; Las Palmas Medical Center; Texas Tech UHSC El Paso,TX,Core Metro,Border city 550+ miles from other Texas metros closer to Phoenix and Albuquerque than Dallas
TX-GALVESTON,Galveston Bay,Galveston,UTMB Health,TX,Regional,Island geography with causeway access creating separate market from Houston despite academic medical center integration
TX-HOUSTON-CORE,Houston Core,Houston,Texas Medical Center; Memorial Hermann; Houston Methodist,TX,Core Metro,Inner I-610 loop with world's largest medical complex anchor but suburban sprawl requires splits
TX-HOUSTON-EAST,East Houston Metro,Baytown,Houston Methodist Baytown; Christus Health,TX,Suburban,Petrochemical corridor with bayou barriers creating east-west friction separate from Medical Center
TX-HOUSTON-NORTH,North Houston Metro,The Woodlands,Houston Methodist The Woodlands; Memorial Hermann,TX,Suburban,45+ miles from Medical Center with independent suburban anchor serving Montgomery County sprawl
TX-HOUSTON-SOUTH,South Houston Metro,Pearland,Memorial Hermann Southeast; HCA Houston Healthcare,TX,Suburban,League City Clear Lake and Pearland serving southern sprawl beyond Beltway 8 separate from core
TX-HOUSTON-SUGAR,Southwest Houston Metro,Sugar Land,Memorial Hermann Southwest; Houston Methodist Sugar Land,TX,Suburban,Fort Bend County serving southwest suburbs with independent hospital systems beyond Beltway 8
TX-HOUSTON-WEST,West Houston Metro,Katy,Memorial Hermann Katy; Houston Methodist West,TX,Suburban,I-10 corridor sprawl extending 50+ miles from downtown with no-zoning creating maximum distance
TX-KILLEEN,Central Texas,Killeen,Baylor Scott & White Health,TX,Regional,Fort Hood military market serving Bell County separate from both Austin and Temple despite I-35 corridor
TX-LAREDO,Border Texas,Laredo,Laredo Medical Center; Doctors Hospital of Laredo,TX,Regional,Border city isolated from San Antonio by 150+ miles serving Webb County and cross-border economy
TX-LONGVIEW,East Texas,Longview,Christus Good Shepherd Health System,TX,Regional,East Texas oil region hub serving I-20 corridor between DFW and Shreveport separate from both
TX-LUBBOCK,South Plains,Lubbock,Covenant Health,TX,Regional,South Plains hub 300+ miles from DFW serving high plains agricultural and Texas Tech University market
TX-MCALLEN,Rio Grande Valley,McAllen,DHR Health; Rio Grande Regional Hospital,TX,Regional,Valley hub serving Hidalgo County border market separate from Corpus Christi and Brownsville
TX-MIDLAND,Permian Basin,Midland,Midland Memorial Hospital; Medical Center Health System Odessa,TX,Regional,Oil hub 300+ miles from all other metros serving Permian Basin boom-bust economy
TX-SANANGELO,Concho Valley,San Angelo,Shannon Medical Center,TX,Regional,West-central hub separate from all major metros serving ranching and oil service economy
TX-SANANTONIO,Greater San Antonio,San Antonio,University Health System; Methodist Healthcare; Baptist Health System,TX,Core Metro,I-35 corridor anchor 80 miles from Austin with military presence managing sprawl as single market
TX-TEMPLE,Central Texas Corridor,Temple,Baylor Scott & White Health,TX,Regional,I-35 hub between DFW Austin and San Antonio with flagship Baylor hospital separate from all three metros
TX-TEXARKANA,Ark-Tex Border,Texarkana,Christus St. Michael Health System,TX/AR,Regional,Straddles Texas Arkansas border creating unique integrated market serving I-30 corridor
TX-TYLER,Northeast Texas,Tyler,UT Health Tyler; Christus Trinity Mother Frances,TX,Regional,East Texas hub serving rose capital and oil region separate from DFW despite I-20 corridor
TX-VICTORIA,Coastal Plains,Victoria,DeTar Healthcare System,TX,Regional,Between Corpus Christi and Houston serving coastal plains and Gulf Coast access separate from both
TX-WACO,Heart of Texas,Waco,Baylor Scott & White Hillcrest Medical Center,TX,Regional,I-35 corridor between DFW and Austin serving McLennan County separate from both despite highway proximity
TX-WICHITAFALLS,North Central Texas,Wichita Falls,United Regional Health Care System,TX,Regional,Oklahoma border hub serving Red River valley separate from DFW despite I-44 corridor
