market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
MA-BOSTON-SOUTH,County,25021,,Norfolk County MA,primary,South suburban Norfolk County Quincy Weymouth Brookline extending South Shore market closer to Boston but distinct from core via distance suburban identity despite some system integration
MA-SPRINGFIELD,CBSA,44140,,"Springfield, MA",primary,Metropolitan area represents western Massachusetts Pioneer Valley Baystate Health anchor isolated from Boston 90 miles via Mass Pike and Hartford 25 miles via I-91 creating independent regional hub
MA-SPRINGFIELD,County,25013,,Hampden County MA,primary,Springfield anchor county western Massachusetts serving Pioneer Valley completely separate from Boston 90 min and Hartford 30 min via I-91 with Baystate Health regional dominance
MA-WORCESTER,CBSA,49340,,"Worcester, MA-CT",primary,Metropolitan area represents central Massachusetts Worcester County hub UMass Memorial Saint Vincent anchors independent from Boston 45 miles 60+ min via Mass Pike with no transit connection
MA-WORCESTER,County,25027,,Worcester County MA,primary,Worcester County anchor central Massachusetts serving I-290 I-190 corridor completely separate from Boston via distance congestion independent academic medical center UMass Memorial
ME-AUGUSTA,County,23011,,Kennebec County ME,primary,Central Maine capital region Augusta Waterville with MaineGeneral anchor 45+ min from Portland 60 miles via I-95 creating independent routine care market serving mid-state
ME-BANGOR,CBSA,12620,,"Bangor, ME",primary,Metropolitan area represents northern Maine regional hub Northern Light Eastern Maine Medical Center serving vast rural catchment Penobscot Valley 130 miles from Portland creating complete independence
ME-BANGOR,County,23019,,Penobscot County ME,primary,Bangor anchor county northern Maine regional hub with academic center serving northeastern quarter state completely isolated from Portland 130 miles via I-95 distance
ME-LEWISTON,County,23001,,Androscoggin County ME,primary,Lewiston-Auburn twin cities Central Maine Medical Center anchor 35 miles from Portland via Maine Turnpike potentially within Portland sphere but independent anchors justify separate market
ME-PORTLAND,CBSA,38860,,"Portland-South Portland, ME",primary,Metropolitan area represents southern Maine coastal anchor Maine Medical Center academic center serving Portland metro and southern coastal population concentration
ME-PORTLAND,County,23005,,Cumberland County ME,primary,Portland anchor county southern Maine coastal hub with Maine Medical Center academic medical center dominance serving state's largest population concentration
NH-CONCORD,County,33013,,Merrimack County NH,primary,Capital region Concord New Hampshire Hospital anchor independent from Dartmouth-Hitchcock 65 miles north and Manchester 20 miles south via I-93 with distinct capital identity
NH-LEBANON,CBSA,31020,,"Lebanon, NH-VT",primary,Cross-border metropolitan area represents Upper Valley Dartmouth-Hitchcock academic medical center serving NH VT border with long-distance tertiary referral role I-89 I-91 corridor
NH-LEBANON,County,33009,,Grafton County NH,primary,Upper Valley anchor county Lebanon Hanover with Dartmouth-Hitchcock academic center serving western New Hampshire eastern Vermont via I-89 Connecticut River Valley
NH-MANCHESTER,CBSA,31700,,"Manchester-Nashua, NH",primary,Metropolitan area represents southern New Hampshire hub Catholic Medical Elliot Hospital balanced dual-anchor system serving I-93 corridor 50 miles from Boston but independent routine care
NH-MANCHESTER,County,33011,,Hillsborough County NH,primary,Manchester Nashua anchor county southern New Hampshire largest population concentration with balanced hospital competition separated from Boston 50 miles via distance
NH-PORTSMOUTH,County,33015,,Rockingham County NH,primary,Seacoast New Hampshire Portsmouth Hampton Exeter serving coastal corridor NH seacoast southern Maine border with Portsmouth Regional Hospital anchor separate from Boston 60 miles via I-95 Route 1
NJ-ATLANTICCITY,CBSA,12100,,"Atlantic City-Hammonton, NJ",primary,Metropolitan area represents southern New Jersey shore Atlantic County AtlantiCare Regional anchor isolated from Philadelphia 60 miles via Garden State Parkway Atlantic City Expressway distance creating shore market
NJ-ATLANTICCITY,County,34001,,Atlantic County NJ,primary,Atlantic City anchor county southern shore market serving resort casino region isolated from both Philadelphia and NYC by distance Garden State Parkway with independent regional anchor
NJ-CAMDEN,County,34007,,Camden County NJ,primary,South Jersey Camden County Cooper University Virtua Health anchors across Delaware River from Philadelphia separated by bridge tolls congestion creating NJ side independent routine care despite proximity
NJ-CAMDEN,County,34015,,Gloucester County NJ,primary,South Jersey suburbs extending Camden market south serving Gloucester County integrated via Route 42 I-295 within routine care threshold of Camden anchor systems
NJ-HACKENSACK,County,34003,,Bergen County NJ,primary,Northern New Jersey Bergen County Hackensack Valley Health System anchors independent from NYC despite George Washington Bridge 10 miles via bridge tunnel congestion 30-60 min creating NJ routine care preference
NJ-HACKENSACK,County,34031,,Passaic County NJ,primary,North Jersey Passaic County extending Hackensack market serving Paterson Clifton Wayne via Route 80 I-280 corridor integrated with Bergen County healthcare systems
NJ-JERSEY-CITY,County,34017,,Hudson County NJ,primary,Hudson River waterfront Hudson County Jersey City Hoboken Bayonne with RWJBarnabas CarePoint anchors independent routine care despite PATH ferry tunnel access to Manhattan requiring transfer 30-45 min
NJ-MORRISTOWN,County,34027,,Morris County NJ,primary,North Central New Jersey Morris County Morristown Parsippany with Atlantic Health System anchor I-287 congestion separates from NYC 30 miles and Hackensack 20 miles creating independent suburban market
NJ-NEWARK,County,34013,,Essex County NJ,primary,Greater Newark Essex County RWJBarnabas University Hospital anchors NJ Transit Penn Station access exists but independent from NYC healthcare 45+ min door-to-door with transfer serving NJ urban core
NJ-NEWBRUNSWICK,County,34023,,Middlesex County NJ,primary,Central New Jersey Middlesex County New Brunswick Robert Wood Johnson University Hospital anchor serving central corridor between NYC 35 miles and Philadelphia 55 miles via NJ Turnpike I-287 creating independent hub
NJ-TOMS-RIVER,County,34029,,Ocean County NJ,primary,Shore region Ocean County Toms River Lakewood with RWJBarnabas Hackensack Meridian presence Garden State Parkway creates distance from both NYC 70 miles and Philadelphia 70 miles serving Jersey Shore population
NJ-TRENTON,County,34021,,Mercer County NJ,primary,Capital region Mercer County Trenton Princeton Capital Health System anchor between Philadelphia 35 miles and NYC 60 miles with Delaware River friction I-295 corridor creating independent capital market
NY-ALBANY,CBSA,10580,,"Albany-Schenectady-Troy, NY",primary,Metropolitan area represents Capital District upstate New York Albany Medical Center St Peter's anchors serving northeastern New York independent from NYC 150 miles and Syracuse 150 miles
NY-ALBANY,County,36001,,Albany County NY,primary,Albany County capital anchor serving Capital District with academic medical center Albany Med independent upstate hub
NY-ALBANY,County,36093,,Schenectady County NY,primary,Schenectady County western Capital District extending market via I-890 I-90 corridor integrated within routine care threshold of Albany anchors
NY-ALBANY,County,36083,,Rensselaer County NY,primary,Rensselaer County eastern Capital District Troy extending market across Hudson River integrated with Albany via bridges within 45 min threshold
NY-ALBANY,County,36091,,Saratoga County NY,primary,Saratoga County northern Capital District Saratoga Springs extending market north via I-87 Northway corridor integrated with Albany healthcare systems
NY-BINGHAMTON,CBSA,13780,,"Binghamton, NY",primary,Metropolitan area represents Southern Tier Broome County United Health Services anchor 60+ min from Syracuse 75 miles via I-81 with Pennsylvania border catchment creating independent hub
NY-BINGHAMTON,County,36007,,Broome County NY,primary,Binghamton anchor county Southern Tier isolated from Syracuse 75 miles north and Scranton PA 60 miles south by terrain I-81 corridor with independent regional anchors
NY-NYC-BRONX,County,36005,,Bronx County NY,primary,Bronx borough Montefiore Health System dominance serving entire borough separated from Manhattan by Harlem River bridges 30-45 min congestion creating independent routine care despite system brand integration
NY-NYC-BROOKLYN,County,36047,,Kings County NY,primary,Brooklyn borough NYC Health Hospitals Maimonides NYU Langone Brooklyn anchors entire borough separated from Manhattan by East River Brooklyn Manhattan Williamsburg Bridges 30-60 min creating independent routine care patterns
NY-BUFFALO,CBSA,15380,,"Buffalo-Cheektowaga, NY",primary,Metropolitan area represents western New York anchor Kaleida Health Catholic Health balanced competition 60+ min from Rochester 75 miles via I-90 creating independent upstate hub
NY-BUFFALO,County,36029,,Erie County NY,primary,Buffalo anchor county western New York Erie County serving Canadian border region with balanced dual-system hospital competition completely separate from Rochester
NY-BUFFALO,County,36063,,Niagara County NY,primary,Niagara County extending Buffalo market north to Niagara Falls Canadian border serving western corridor integrated with Buffalo systems within routine care threshold
NY-ELMIRA,County,36015,,Chemung County NY,primary,Southern Tier Chemung County Elmira Arnot Ogden anchor serving Pennsylvania border rural hub isolated from Binghamton 60 miles and Syracuse 90 miles by terrain creating independent market
NY-GLENS-FALLS,County,36113,,Warren County NY,primary,Adirondack Gateway Warren County Glens Falls Hospital anchor northern market isolated from Albany 50 miles via I-87 Northway Adirondack terrain barriers creating independence
NY-HUDSON-VALLEY,County,36027,,Dutchess County NY,primary,Mid-Hudson Dutchess County Poughkeepsie Vassar Brothers Health Quest anchors 60+ min from both Westchester 40 miles south via Taconic and Albany 70 miles north creating independent Hudson Valley hub
NY-ITHACA,County,36109,,Tompkins County NY,primary,Finger Lakes South Tompkins County Ithaca Cayuga Medical Center college town hub isolated from Syracuse 60 miles and Binghamton 50 miles by rural Finger Lakes distance creating independent market
NY-KINGSTON,County,36111,,Ulster County NY,primary,Mid-Hudson Ulster County Kingston HealthAlliance Hospital anchor separate from Poughkeepsie 40 miles south and Albany 50 miles north via distance creating independent Hudson Valley market
NY-LONGISLAND,County,36059,,Nassau County NY,primary,Long Island Nassau County western portion Northwell Health dominance LIRR requires transfers 60+ min to Manhattan and most routine care stays local creating Long Island independent market
NY-LONGISLAND,County,36103,,Suffolk County NY,primary,Long Island Suffolk County eastern portion extending Northwell market serving entire island separated from Manhattan by distance LIRR geography creating complete Long Island healthcare independence
NY-NYC-MANHATTAN,County,36061,,New York County NY,primary,Manhattan borough dense urban core New York County NYU Langone Mount Sinai NewYork-Presbyterian academic medical centers with subway access high provider substitutability separated from all outer boroughs by East River bridges tunnels
NY-NYC-QUEENS,County,36081,,Queens County NY,primary,Queens borough NYC Health Hospitals Northwell Health presence serving entire borough separated from Manhattan by East River Queensboro Bridge Queens-Midtown Tunnel 30-45 min congestion creating independent routine care
NY-NYC-STATEN,County,36085,,Richmond County NY,primary,Staten Island borough Richmond County Staten Island University Hospital Richmond University Medical Center island geography Verrazano Bridge bottleneck despite free ferry 60-90 min total to Manhattan creating separate routine care
NY-PLATTSBURGH,County,36019,,Clinton County NY,primary,North Country Clinton County Plattsburgh UVM Health Network Champlain Valley Physicians Hospital Adirondack-isolated northern market closer to Burlington VT 60 miles than Albany 150 miles creating border market
NY-ROCHESTER,CBSA,40380,,"Rochester, NY",primary,Metropolitan area represents western New York regional anchor Monroe County University of Rochester Medical Center Rochester Regional Health 60+ min from Syracuse 90 miles and Buffalo 75 miles via I-90 creating independent hub
NY-ROCHESTER,County,36055,,Monroe County NY,primary,Rochester anchor county western upstate New York Monroe County with academic medical center UR Medicine Rochester Regional balanced competition separated from neighboring cities 75-90 miles
NY-SYRACUSE,CBSA,45060,,"Syracuse, NY",primary,Metropolitan area represents central New York hub Onondaga County Upstate University Hospital St Joseph academic center 60+ min from Rochester 90 miles and Albany 150 miles creating independent upstate anchor
NY-SYRACUSE,County,36067,,Onondaga County NY,primary,Syracuse anchor county central New York Onondaga County with academic medical center Upstate University Hospital independent from all neighboring upstate cities 90-150 miles creating distinct market
NY-UTICA,County,36065,,Oneida County NY,primary,Mohawk Valley Oneida County Utica Rome Mohawk Valley Health System central corridor hub between Syracuse 50 miles west and Albany 90 miles east via I-90 with independent anchors
NY-WATERTOWN,County,36045,,Jefferson County NY,primary,Northern New York Jefferson County Watertown Samaritan Medical Center isolated from Syracuse 75 miles south by distance serving Fort Drum military catchment creating northern market
NY-WESTCHESTER,County,36119,,Westchester County NY,primary,Westchester County White Plains New Rochelle Yonkers Montefiore NewYork-Presbyterian presence Tappan Zee congestion 60+ min travel to Manhattan Metro-North requires transfer creating independent routine care
PA-ALLENTOWN,CBSA,10900,,"Allentown-Bethlehem-Easton, PA-NJ",primary,Metropolitan area represents Lehigh Valley eastern Pennsylvania Lehigh Valley Health Network anchor serving I-78 corridor independent from Philadelphia 60 miles via distance
PA-ALLENTOWN,County,42077,,Lehigh County PA,primary,Lehigh County anchor Allentown serving Lehigh Valley with Lehigh Valley Health Network regional system separated from Philadelphia 60 miles via I-78 I-476
PA-ALLENTOWN,County,42095,,Northampton County PA,primary,Northampton County Bethlehem Easton extending Lehigh Valley market north and east serving Delaware River Pennsylvania New Jersey border integrated with Allentown systems
PA-ERIE,CBSA,21500,,"Erie, PA",primary,Metropolitan area represents northwestern Pennsylvania Lake Erie geography UPMC Hamot Saint Vincent anchors isolated from Pittsburgh 130 miles via I-79 2+ hour distance creating Erie regional independence
PA-ERIE,County,42049,,Erie County PA,primary,Erie County northwestern Pennsylvania anchor Lake Erie shore isolated from Pittsburgh 130 miles 2+ hours and Buffalo 90 miles creating independent Great Lakes market
PA-HARRISBURG,CBSA,25420,,"Harrisburg-Carlisle, PA",primary,Metropolitan area represents capital region Dauphin Cumberland counties Penn State Health UPMC WellSpan Health multi-system balance serving central Pennsylvania I-81 I-83 corridor hub
PA-HARRISBURG,County,42043,,Dauphin County PA,primary,Dauphin County Harrisburg capital anchor with Penn State Health Hershey Medical Center UPMC Harrisburg serving central Pennsylvania independent from Philadelphia 100 miles and Pittsburgh 200 miles
PA-HARRISBURG,County,42041,,Cumberland County PA,primary,Cumberland County Carlisle Mechanicsburg extending Harrisburg market south via I-81 integrated with capital region healthcare systems WellSpan presence
PA-LANCASTER,County,42071,,Lancaster County PA,primary,Lancaster County independent market Penn Medicine Lancaster General WellSpan Health anchors 60+ min from both Harrisburg 35 miles and Philadelphia 65 miles via I-76 Turnpike congestion creating distinct Pennsylvania Dutch region
PA-PHILLY-CORE,County,42101,,Philadelphia County PA,primary,Philadelphia County city proper Penn Medicine Jefferson Health Temple Health academic medical centers dense urban anchor Center City University City with SEPTA serving core
PA-PHILLY-SUBURBS,County,42091,,Montgomery County PA,primary,Montgomery County Philadelphia suburbs King of Prussia Norristown Main Line Health Jefferson Health anchors independent routine care despite tertiary referrals to city serving I-476 corridor
PA-PHILLY-SUBURBS,County,42029,,Chester County PA,primary,Chester County western Philadelphia suburbs West Chester extending suburban market via Route 202 Main Line identity integrated with Montgomery County healthcare systems
PA-PHILLY-SUBURBS,County,42045,,Delaware County PA,primary,Delaware County Philadelphia suburbs Media Springfield Main Line corridor serving western Delaware County integrated with Montgomery County suburban market distinct from urban core
PA-PITTSBURGH,CBSA,38300,,"Pittsburgh, PA",primary,Metropolitan area represents western Pennsylvania Allegheny County UPMC Allegheny Health Network intense two-system competition academic medical centers completely separate from Philadelphia 300 miles 5+ hours
PA-PITTSBURGH,County,42003,,Allegheny County PA,primary,Allegheny County Pittsburgh anchor western Pennsylvania with UPMC academic medical center Allegheny Health Network creating intense hospital competition serving entire southwestern PA region
PA-READING,County,42011,,Berks County PA,primary,Berks County Reading independent market Tower Health anchor 60+ min from Philadelphia 60 miles via I-76 Pennsylvania Turnpike congestion barriers creating distinct market
PA-SCRANTON,County,42069,,Lackawanna County PA,primary,Lackawanna County Scranton anchor northeastern Pennsylvania Geisinger Commonwealth Health serving Wyoming Valley isolated from Wilkes-Barre 20 miles and Allentown 60 miles by terrain
PA-SCRANTON,County,42079,,Luzerne County PA,primary,Luzerne County Wilkes-Barre extending Scranton market serving Wyoming Valley coal region integrated healthcare systems Pennsylvania New York border catchment
PA-WILLIAMSPORT,County,42081,,Lycoming County PA,primary,Lycoming County Williamsport UPMC Susquehanna anchor rural hub serving vast northern tier catchment between Harrisburg 80 miles and Elmira NY 60 miles creating north-central Pennsylvania market
PA-YORK,County,42133,,York County PA,primary,York County south-central market York WellSpan Health anchor between Harrisburg 25 miles north and Baltimore 50 miles south with Maryland border catchment I-83 corridor serving distinct market
RI-PROVIDENCE,CBSA,39300,,"Providence-Warwick, RI-MA",primary,Metropolitan area represents Rhode Island state anchor Lifespan Care New England serving entire state independent from Boston 50 miles despite I-95 proximity due to 60+ min congestion and Medicaid split
RI-PROVIDENCE,County,44007,,Providence County RI,primary,Providence County anchor serving Rhode Island capital urban core with Lifespan Care New England academic and community systems completely separate from Boston via I-95 congestion state border
RI-PROVIDENCE,County,44003,,Kent County RI,primary,Kent County southern Rhode Island Warwick extending Providence market serving state population integrated within routine care threshold
RI-PROVIDENCE,County,44009,,Washington County RI,primary,Washington County southern Rhode Island coastal extending Providence market to Connecticut border serving entire small state within 45 min threshold
RI-PROVIDENCE,County,44005,,Newport County RI,primary,Newport County Aquidneck Island Newport Middletown Portsmouth Mount Hope Bridge crossing integrated with Providence despite island geography within state healthcare system
RI-PROVIDENCE,County,44001,,Bristol County RI,primary,Bristol County eastern Rhode Island extending Providence market completing statewide coverage integrated healthcare systems
VT-BURLINGTON,CBSA,15540,,"Burlington-South Burlington, VT",primary,Metropolitan area represents Vermont only tertiary care hub Chittenden County University of Vermont Medical Center academic center serving vast rural catchment Green Mountains isolation statewide referral center
VT-BURLINGTON,County,50007,,Chittenden County VT,primary,Chittenden County Burlington anchor Vermont largest population concentration UVM Medical Center academic medical center serving western Vermont Lake Champlain corridor
VT-RUTLAND,County,50021,,Rutland County VT,primary,Rutland County central Vermont Rutland Regional Medical Center independent market serving central Vermont isolated from Burlington 70 miles via Green Mountains terrain US Route 7 corridor creating separate market
