market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
WA-SEATTLE-EASTSIDE,County,53033,"98004,98005,98006,98007,98008,98011,98027,98029,98033,98034,98039,98040,98052,98053,98056,98059,98072,98074,98075,98077",King County WA,primary,Eastside across Lake Washington including Bellevue Redmond Kirkland Sammamish Issaquah Mercer Island connected via I-90 SR-520 bridges served by Overlake Medical Center and Evergreen Health
WA-SEATTLE-EVERETT,CBSA,42644,,Snohomish County WA,primary,Metropolitan division represents Snohomish County market 30 miles north of Seattle with Sounder rail connection but distinct Providence Regional Medical Center anchor
WA-SEATTLE-EVERETT,County,53061,,Snohomish County WA,primary,Entire Snohomish County served by Providence Regional Medical Center separate from Seattle core despite commuter rail connectivity
WA-SEATTLE-MAIN,County,53033,"98101,98102,98103,98104,98105,98107,98109,98112,98115,98116,98117,98118,98119,98121,98122,98125,98126,98133,98134,98136,98144,98146,98154,98164,98174,98177,98178,98195,98199",King County WA,primary,Central Seattle urban core west of Lake Washington including downtown Capitol Hill Ballard University District Fremont Wallingford Green Lake Magnolia Queen Anne served by UW Medicine Swedish Medical Center Virginia Mason Harborview
WA-SEATTLE-SOUTHKING,County,53033,"98001,98002,98003,98023,98030,98031,98032,98042,98055,98057,98058,98063,98064,98065,98092,98188,98198",King County WA,primary,South King County including Renton Kent Auburn Federal Way SeaTac Tukwila Burien Des Moines south of Seattle core served by Valley Medical Center as distinct community anchor
WA-SEATTLE-TACOMA,CBSA,45104,,"Tacoma-Lakewood, WA",primary,Metropolitan division represents Pierce County market 35 miles south of Seattle with Sounder rail connection but distinct MultiCare Health System and CHI Franciscan anchors
WA-SEATTLE-TACOMA,County,53053,,Pierce County WA,primary,Entire Pierce County served by MultiCare and CHI Franciscan separate from Seattle despite transit connectivity
WA-SPOKANE,CBSA,44060,,"Spokane-Spokane Valley, WA",primary,Metropolitan area represents Eastern Washington hub separated from Seattle by Cascade Mountains serving 550K metro with Providence Sacred Heart and MultiCare Deaconess
WA-SPOKANE,County,53063,,Spokane County WA,primary,County represents Eastern hub with vast rural catchment across Eastern Washington and Northern Idaho
WA-TRICITIES,CBSA,28420,,"Kennewick-Richland, WA",primary,Metropolitan area represents Mid-Columbia confluence serving Kennewick Richland Pasco with nuclear site economy separate from Seattle and Spokane
WA-TRICITIES,County,53005,,Benton County WA,primary,County represents western portion of Tri-Cities market including Richland and Kennewick served by Kadlec Regional Medical Center
WA-TRICITIES,County,53021,,Franklin County WA,primary,County represents Pasco portion of Tri-Cities market served by Trios Health
WA-WALLA,County,53071,,Walla Walla County WA,primary,County represents Southeast Washington agricultural region near Oregon border separated from Tri-Cities by distance served by Providence St. Mary Medical Center
WA-WENATCHEE,CBSA,48300,,Wenatchee WA,primary,Metropolitan area represents North Central Washington apple country hub serving Cascade east slope separated from both Seattle and Spokane
WA-WENATCHEE,County,53007,,Chelan County WA,primary,County represents northern portion of North Central Washington market
WA-WENATCHEE,County,53017,,Douglas County WA,primary,County represents southern portion of North Central Washington market served by Confluence Health
WA-YAKIMA,CBSA,49420,,Yakima WA,primary,Metropolitan area represents Central Washington valley hub separated from Seattle by Cascade Mountains serving agricultural region with Hispanic majority population
WA-YAKIMA,County,53077,,Yakima County WA,primary,County represents Central valley market served by Yakima Valley Memorial Hospital and Virginia Mason Memorial
