zip_code,market_id,relationship_type,mapping_rationale
97123,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97124,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97125,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97132,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97133,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97140,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97144,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97201,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97202,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97203,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97204,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97205,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97206,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97207,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97208,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97209,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97210,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97211,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97212,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97213,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97214,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97215,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97216,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97217,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97218,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97219,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97220,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97221,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97222,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97223,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97224,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97225,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97227,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97228,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97229,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97230,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97231,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97232,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97233,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97236,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97238,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97239,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97240,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97242,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97251,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97253,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97254,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97256,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97266,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97267,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97268,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97269,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97280,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97281,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97282,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97283,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97286,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97290,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97291,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97292,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97293,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97294,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97296,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97298,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97301,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97302,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97303,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97304,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97305,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97306,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97307,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97308,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97309,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97310,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97311,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97312,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97314,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97317,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97321,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97322,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97324,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97325,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97326,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97327,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97329,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97330,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97330,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97331,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97333,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97335,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97338,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97339,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97341,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97342,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97345,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97346,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97347,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97348,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97350,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97351,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97352,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97355,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97358,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97360,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97361,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97362,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97364,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97366,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97368,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97369,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97370,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97371,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97374,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97375,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97376,OR-CORVALLIS,primary,Mid-Willamette with Samaritan Health OSU town between Salem and Eugene separate from both
97377,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97378,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97380,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97381,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97383,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97384,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97385,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97386,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97388,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97389,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97390,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97391,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97392,OR-SALEM,primary,State capital with Salem Health 50 miles south of Portland separate market within 15-30 min
97401,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97402,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97403,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97404,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97405,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97406,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97408,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97409,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97410,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97411,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97412,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97413,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97414,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97416,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97419,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97420,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97424,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97426,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97430,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97431,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97434,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97437,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97438,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97439,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97440,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97441,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97442,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97443,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97444,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97446,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97447,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97448,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97449,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97450,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97451,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97452,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97453,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97454,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97455,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97456,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97457,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97458,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97459,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97461,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97462,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97463,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97464,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97465,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97466,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97467,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97469,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97470,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97471,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97473,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97474,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97475,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97476,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97477,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97478,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97479,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97480,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97481,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97482,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97484,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97486,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97487,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97488,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97489,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97490,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97492,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97493,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97495,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97496,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97497,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97498,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97499,OR-EUGENE,primary,Southern Willamette with PeaceHealth McKenzie 110 miles from Portland separate I-5 corridor market
97501,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
97502,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
97503,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
97504,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
97520,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
97522,OR-MEDFORD,primary,Southern Oregon with Asante Health near California border 70+ miles from Eugene separate market
