market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
CA-FRESNO,County,06019,,Fresno County CA,primary,Fresno County anchor serving central valley agriculture completely separate from both southern valley Bakersfield and northern valley Modesto via SR-99 corridor distances exceeding behavioral threshold
CA-LA-ANTELOPE,County,06037,"93510,93532,93534,93535,93536,93543,93550,93551,93552,93553,93591",Los Angeles County CA,primary,Antelope Valley Lancaster Palmdale high desert completely separated from LA Basin by San Gabriel Mountains SR-14 only crossing mountain pass creating absolute barrier with aerospace economy and Antelope Valley Hospital anchor
CA-LA-CENTRAL,County,06037,"90001,90002,90003,90004,90005,90006,90007,90008,90011,90012,90013,90014,90015,90017,90018,90019,90021,90023,90026,90027,90028,90031,90032,90033,90037,90038,90039,90041,90042,90057,90063,90065,90071",Los Angeles County CA,primary,Downtown Central LA serving urban core with USC Keck LAC+USC California Hospital academic medical center anchors Boyle Heights East LA Central City distinct from Westside via I-405 60+ min congestion
CA-LA-EAST,County,06037,"90601,90602,90603,90604,90605,90606,90638,90640,90650,90660,90670,90701,90703,90706,90715,90723,90746",Los Angeles County CA,primary,Eastern LA County Whittier Downey Norwalk served by PIH Health Kaiser separated from downtown 15+ miles by I-5 I-710 congestion and distance creating distinct suburban routine care market
CA-LA-LONGBEACH,County,06037,"90713,90755,90802,90803,90804,90805,90806,90807,90808,90810,90813,90814,90815,90822,90831,90840",Los Angeles County CA,primary,Long Beach harbor area with port economy MemorialCare anchor separated from downtown LA 25 miles north via I-110 I-710 and from South Bay via distance serving coastal corridor with distinct identity
CA-LA-PASADENA,County,06037,"91001,91006,91007,91008,91010,91011,91016,91020,91024,91030,91101,91103,91104,91105,91106,91107,91108,91123,91201,91202,91203,91204,91205,91206,91207,91208,91214,91301,91302,91303",Los Angeles County CA,primary,San Gabriel Valley Pasadena Arcadia San Marino served by Huntington Hospital City of Hope separated from downtown 10+ miles by I-210 and distance with distinct medical identity cancer center presence
CA-LA-SANTACLARITA,County,06037,"91310,91321,91350,91351,91354,91355,91381,91382,91383,91384,91387,91390",Los Angeles County CA,primary,Santa Clarita Valley Valencia Newhall served by Henry Mayo hospital separated from San Fernando Valley 20+ miles south via I-5 mountain corridor hills creating distinct market despite LA County geography
CA-LA-SFVALLEY,County,06037,"91040,91042,91304,91306,91307,91311,91316,91324,91325,91326,91330,91331,91335,91340,91342,91343,91344,91345,91352,91356,91364,91367,91401,91402,91403,91405,91406,91411,91423,91501,91502,91504,91505,91506,91601,91602,91604,91605,91606,91607,91608",Los Angeles County CA,primary,San Fernando Valley Van Nuys Burbank Glendale Northridge Sherman Oaks separated from Westside and downtown by Santa Monica Mountains US-101 Sepulveda Pass I-405 60+ min crossing creating absolute barrier served by Providence Holy Cross Kaiser
CA-LA-SOUTHBAY,County,06037,"90254,90266,90274,90277,90278,90292,90501,90503,90504,90505,90506,90717,90731,90732,90745",Los Angeles County CA,primary,South Bay Beach Cities Torrance Redondo Manhattan Beach serving coastal corridor with Torrance Memorial Providence anchors separated from Westside 15+ miles north and Long Beach 15+ miles east creating distinct suburban identity
CA-LA-VENTURA,County,06111,,Ventura County CA,primary,Ventura County Oxnard Thousand Oaks Simi Valley separated from LA County by Santa Monica Mountains Conejo Grade US-101 mountain pass creating friction with Community Memorial Los Robles anchors serving coastal and inland communities
CA-LA-WESTSIDE,County,06037,"90024,90025,90034,90035,90036,90043,90045,90046,90048,90049,90056,90064,90066,90067,90068,90069,90073,90077,90094,90095,90210,90211,90212,90230,90232,90272,90291,90293,90401,90402,90403,90404,90405,91436",Los Angeles County CA,primary,Westside LA West LA Santa Monica Beverly Hills Culver City with UCLA Health Cedars-Sinai Providence academic anchors separated from downtown via I-405 60+ min and Valley via Santa Monica Mountains creating distinct affluent market
CA-MODESTO,CBSA,33700,,"Modesto, CA",primary,Metropolitan area represents Stanislaus County Central Valley hub 90 miles south of Stockton 80 miles north of Fresno with Doctors Memorial anchors serving agricultural region separate markets via SR-99 distances
CA-MODESTO,County,06099,,Stanislaus County CA,primary,Stanislaus County anchor Modesto Turlock Ceres served by local hospital systems completely separate from neighboring valley cities by 80-90 mile distances creating independent behavioral market
CA-MONTEREY,CBSA,34900,,"Salinas, CA",primary,Metropolitan area represents Monterey Bay Salinas Peninsula with Community Hospital Natividad anchors serving coastal tourism agriculture separated from Bay Area 100+ miles north by hills distance
CA-MONTEREY,County,06053,,Monterey County CA,primary,Monterey County anchor Monterey Salinas Seaside Carmel serving bay area isolated from Silicon Valley 80 miles north by Santa Cruz Mountains coastal distance creating distinct market
CA-OC-NORTH,County,06059,"90620,90621,90622,90623,90624,90630,90631,90632,90633,90680,90720,90721,90740,92602,92604,92605,92606,92780,92801,92802,92804,92805,92806,92807,92821,92823,92831,92832,92833,92835,92840,92841,92843,92844,92845,92846,92861,92865,92866,92867,92868,92869,92870,92886,92887",Orange County CA,primary,North Orange County Anaheim Santa Ana Fullerton with UCI Health St Joseph Kaiser anchors separated from LA County by I-5 I-405 congestion 60+ min despite proximity creating distinct Orange County identity
CA-OC-SOUTH,County,06059,"92603,92610,92612,92614,92617,92618,92620,92624,92625,92626,92627,92629,92630,92637,92646,92647,92648,92649,92651,92653,92656,92657,92660,92661,92662,92663,92672,92673,92674,92675,92676,92677,92679,92688,92691,92692,92694",Orange County CA,primary,South Orange County Irvine Newport Beach Laguna Hills Mission Viejo with Hoag Mission Saddleback anchors serving wealthy coastal corridor separated from North OC by distance and from LA County by I-5 congestion with distinct affluent identity
CA-REDDING,CBSA,39820,,"Redding, CA",primary,Metropolitan area represents far northern California Shasta Cascade region with Shasta Regional Mercy anchors isolated from Chico 90 miles south and Bay Area 230 miles south by mountains SR-99 distance
CA-REDDING,County,06089,,Shasta County CA,primary,Shasta County northern anchor Redding Anderson serving Cascade region completely isolated from all California metros by mountain barriers and extreme distances 200+ miles from major cities
CA-RIVERSIDE-COACHELLA,County,06065,"92201,92202,92203,92210,92211,92220,92223,92230,92234,92235,92236,92240,92241,92253,92254,92258,92260,92261,92262,92263,92264,92270,92276,92282",Riverside County CA,primary,Coachella Valley Palm Springs Rancho Mirage Indio desert resort valley completely isolated from Riverside by San Jacinto Mountains I-10 San Gorgonio Pass only crossing mountain barrier creating absolute separation with Eisenhower Desert Regional anchors
CA-RIVERSIDE-TEMECULA,County,06065,"92530,92532,92562,92563,92584,92590,92591,92592,92593,92595,92596",Riverside County CA,primary,Southwest Riverside County Temecula Murrieta wine country I-15 corridor separated from Riverside 50+ miles north and San Diego 50+ miles south creating independent market with Temecula Valley Rancho Springs anchors
CA-RIVERSIDE-WEST,County,06065,"91752,92503,92504,92505,92506,92507,92508,92509,92518,92521,92522,92551,92553,92555,92557,92561,92567,92570,92571,92582,92585,92586,92587,92880,92881,92882,92883",Riverside County CA,primary,Western Riverside County Riverside Corona Moreno Valley serving Inland Empire with Riverside Community Kaiser anchors separated from LA Basin 60+ miles west by Cajon Pass I-10 I-15 interchange congestion mountain barriers and from Coachella by mountains
CA-SACRAMENTO,CBSA,40900,,"Sacramento-Roseville-Folsom, CA",primary,Metropolitan area represents state capital Sacramento County with UC Davis Sutter Dignity Health anchors managing metropolitan sprawl as single integrated market including Placer County suburbs
CA-SACRAMENTO,County,06067,,Sacramento County CA,primary,Sacramento County anchor state capital downtown Elk Grove Citrus Heights with UC Davis academic medical center dominant anchor serving core metro
CA-SACRAMENTO,County,06061,,Placer County CA,primary,Placer County northern suburbs Roseville Rocklin Lincoln integrated with Sacramento 20 miles south via I-80 US-50 corridors within 45 min threshold behavioral integration with capital region
CA-SACRAMENTO,County,06017,,El Dorado County CA,primary,El Dorado County eastern suburbs Folsom El Dorado Hills integrated with Sacramento via US-50 corridor within metropolitan commute pattern and medical access threshold
CA-SACRAMENTO,County,06113,,Yolo County CA,primary,Yolo County western suburbs Davis Woodland West Sacramento integrated with capital region via I-80 I-5 corridors UC Davis Health presence connects western metro extension
CA-SANBERNARDINO,County,06071,"92313,92316,92324,92335,92336,92337,92346,92352,92354,92359,92373,92374,92376,92377,92382,92399,92404,92405,92407,92408,92410,92411,92415,92423,92427",San Bernardino County CA,primary,San Bernardino County western portion San Bernardino Loma Linda Colton Fontana Rialto with Loma Linda University Arrowhead Regional academic anchors serving Inland Empire separated from LA 60+ miles west by Cajon Pass and Riverside 50+ miles south
CA-SANDIEGO-CORE,County,06073,"92037,92101,92102,92103,92104,92105,92106,92107,92108,92109,92110,92111,92113,92114,92115,92116,92117,92119,92120,92122,92123,92124,92126,92127,92128,92129,92130,92131,92134,92135,92136,92139,92140,92145,92154,92173",San Diego County CA,primary,San Diego metro core downtown La Jolla Coronado coastal corridor with UCSD Health Scripps Sharp academic anchors serving urban core separated from North County 30+ miles and East County 20+ miles by distance I-5 I-8 congestion
CA-SANDIEGO-EAST,County,06073,"91941,91942,91977,92019,92020,92021,92040,92071,92091,92019",San Diego County CA,primary,East County San Diego El Cajon La Mesa Santee serving inland communities with Sharp Grossmont Alvarado anchors separated from coastal core 20+ miles west by hills I-8 corridor creating distinct suburban inland identity
CA-SANDIEGO-NORTH,County,06073,"92007,92008,92009,92010,92011,92014,92024,92025,92026,92027,92028,92029,92054,92056,92057,92058,92078,92081,92082,92083,92084,92086,92096",San Diego County CA,primary,North County coastal Carlsbad Oceanside Encinitas Vista serving I-5 corridor 30-40 miles north of downtown with Scripps Tri-City anchors separated from core by distance I-5 congestion creating distinct North County identity
CA-SANLUIS,CBSA,42020,,"San Luis Obispo-Paso Robles, CA",primary,Metropolitan area represents Central Coast SLO County hub French Hospital Sierra Vista anchors isolated from Santa Barbara 90 miles south and Monterey 140 miles north by coastal mountains distance
CA-SANLUIS,County,06079,,San Luis Obispo County CA,primary,San Luis Obispo County Central Coast anchor Paso Robles Atascadero serving isolated coastal region separated from both northern and southern metros by mountain barriers US-101 distances
CA-SANTABARBARA,CBSA,42200,,"Santa Barbara-Santa Maria-Goleta, CA",primary,Metropolitan area represents south coast Santa Barbara County with Cottage Health Sansum anchors separated from LA 95 miles south by Santa Ynez Mountains and SLO 90 miles north by coastal distance
CA-SANTABARBARA,County,06083,"93013,93067,93101,93103,93105,93108,93109,93110,93111,93117,93160",Santa Barbara County CA,primary,Southern Santa Barbara County Santa Barbara Goleta Carpinteria serving coastal city isolated from LA Basin by Transverse Ranges US-101 mountain passes and from San Luis Obispo by distance
CA-SANTACRUZ,County,06087,,Santa Cruz County CA,primary,Santa Cruz County coastal communities Santa Cruz Watsonville Capitola separated from Bay Area by dangerous Highway 17 Santa Cruz Mountains 2-lane crossing creating absolute barrier with Dominican Watsonville anchors serving isolated beach region
CA-SANTAMARIA,County,06083,"93427,93454,93455,93456,93458,93460",Santa Barbara County CA,primary,North Santa Barbara County Santa Maria Lompoc agricultural region between San Luis Obispo 45 miles north and Santa Barbara 60 miles south with Marian Regional Dignity Health anchors serving distinct northern county market
CA-STOCKTON,CBSA,44700,,"Stockton, CA",primary,Metropolitan area represents northern Central Valley San Joaquin delta hub 50 miles south of Sacramento 80 miles north of Modesto with St Joseph Dameron anchors serving agricultural region
CA-STOCKTON,County,06077,,San Joaquin County CA,primary,San Joaquin County anchor Stockton Lodi Tracy serving delta region separate from Sacramento 45 miles north and Modesto 35 miles south via SR-99 distances creating independent valley market
CA-VISALIA,CBSA,47300,,"Visalia, CA",primary,Metropolitan area represents Tulare County southern Central Valley between Fresno 45 miles north and Bakersfield 60 miles south with Kaweah Health anchor serving agricultural region
CA-VISALIA,County,06107,,Tulare County CA,primary,Tulare County anchor Visalia Porterville Tulare serving southern valley agriculture midpoint between Fresno and Bakersfield but separate from both via SR-99 distances creating distinct market
