market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
CA-LA-ANTELOPE,Antelope Valley,Lancaster,Antelope Valley Hospital,CA,Regional,High Desert separated from San Fernando Valley by San Gabriel Mountains serving Lancaster Palmdale with aerospace economy
CA-LA-CENTRAL,Downtown Los Angeles,Los Angeles,USC Keck Medicine; LAC+USC Medical Center; California Hospital,CA,Core Metro,Central LA with USC academic medical center and county safety net anchor serving downtown core
CA-LA-EAST,East Los Angeles Metro,Downey,PIH Health; Kaiser,CA,Suburban,Whittier Downey Norwalk serving eastern LA County separate from downtown by distance and I-5 congestion
CA-LA-LONGBEACH,Long Beach Harbor,Long Beach,MemorialCare Long Beach Medical Center; Dignity Health,CA,Core Metro,Harbor area with port economy separate from both downtown LA and South Bay serving coastal corridor
CA-LA-PASADENA,San Gabriel Valley,Pasadena,Huntington Hospital; City of Hope,CA,Suburban,Pasadena Arcadia San Marino serving San Gabriel Valley separate from downtown by distance with cancer center
CA-LA-SANTACLARITA,Santa Clarita Valley,Santa Clarita,Henry Mayo Newhall Hospital,CA,Regional,I-5 corridor north of San Fernando Valley separated by hills serving Valencia Santa Clarita with distinct anchor
CA-LA-SFVALLEY,San Fernando Valley,Van Nuys,Providence Holy Cross; Kaiser,CA,Suburban,Valley separated from Westside and downtown by Santa Monica Mountains serving Burbank Glendale Van Nuys
CA-LA-SOUTHBAY,South Bay Beach Cities,Torrance,Torrance Memorial Medical Center; Providence Little Company of Mary,CA,Suburban,Torrance Redondo Beach Manhattan Beach serving beach corridor separate from both Long Beach and Westside
CA-LA-VENTURA,Ventura County,Ventura,Community Memorial Hospital; Los Robles Regional Medical Center,CA,Regional,Ventura Oxnard Thousand Oaks separated from LA by Santa Monica Mountains with coastal and inland anchors
CA-LA-WESTSIDE,Westside Los Angeles,Los Angeles,UCLA Health; Cedars-Sinai Medical Center; Providence,CA,Core Metro,West LA Santa Monica Beverly Hills with UCLA and Cedars academic anchors separated from Valley by mountains
CA-MODESTO,Stanislaus County,Modesto,Doctors Medical Center; Memorial Medical Center,CA,Regional,Central Valley hub 90 miles south of Stockton and 80 miles north of Fresno serving agricultural region
CA-MONTEREY,Monterey Bay,Monterey,Community Hospital of the Monterey Peninsula; Natividad,CA,Regional,Monterey Salinas Seaside serving bay area separated from Bay Area by hills and distance with tourism economy
CA-OC-NORTH,North Orange County,Anaheim,UCI Health; St. Joseph Hospital; Kaiser,CA,Suburban,Anaheim Santa Ana Fullerton with UCI academic anchor separated from LA County by I-5 congestion despite proximity
CA-OC-SOUTH,South Orange County,Irvine,Hoag Memorial Hospital Presbyterian; Mission Hospital; Saddleback Memorial,CA,Suburban,Irvine Newport Beach Laguna Hills serving wealthy coastal corridor separate from both LA and North OC
CA-REDDING,Far North California,Redding,Shasta Regional Medical Center; Mercy Medical Center,CA,Regional,Northern hub serving Shasta Cascade region isolated from Chico and Bay Area by mountains
CA-RIVERSIDE-COACHELLA,Coachella Valley,Palm Springs,Eisenhower Health; Desert Regional Medical Center,CA,Regional,Desert resort valley isolated from Riverside by mountains serving Palm Springs Rancho Mirage with tourism economy
CA-RIVERSIDE-TEMECULA,Southwest Riverside,Temecula,Temecula Valley Hospital; Rancho Springs Medical Center,CA,Regional,Southwest corridor between Riverside and San Diego serving wine country separate from both metros
CA-RIVERSIDE-WEST,West Riverside County,Riverside,Riverside Community Hospital; Kaiser,CA,Regional,Riverside Corona Moreno Valley serving western Inland Empire separate from LA by 60+ miles and Cajon Pass
CA-SACRAMENTO,Greater Sacramento,Sacramento,UC Davis Health; Sutter Health; Dignity Health,CA,Core Metro,State capital with UC Davis academic anchor managing metropolitan sprawl as single market
CA-SANBERNARDINO,San Bernardino County,San Bernardino,Loma Linda University Health; Arrowhead Regional Medical Center,CA,Regional,Inland Empire anchor with Loma Linda academic center serving San Bernardino Colton separate from both LA and Riverside
CA-SANDIEGO-CORE,San Diego Metro,San Diego,UC San Diego Health; Scripps Health; Sharp HealthCare,CA,Core Metro,Downtown La Jolla coastal corridor with UCSD academic anchor and Scripps/Sharp dual systems serving metro core
CA-SANDIEGO-EAST,East County San Diego,El Cajon,Sharp Grossmont Hospital; Alvarado Hospital,CA,Suburban,Inland San Diego County serving El Cajon La Mesa Santee separate from coastal core by hills
CA-SANDIEGO-NORTH,North County Coastal,Carlsbad,Scripps Health; Tri-City Medical Center,CA,Suburban,Carlsbad Oceanside Encinitas serving north coastal corridor separate from downtown by I-5 congestion and distance
CA-SANLUIS,Central Coast SLO,San Luis Obispo,French Hospital Medical Center; Sierra Vista Regional,CA,Regional,Central Coast hub serving SLO County isolated from both Santa Barbara and Monterey by coastal distance
CA-SANTABARBARA,South Coast,Santa Barbara,Cottage Health; Sansum Clinic,CA,Regional,Coastal city separated from both LA and San Luis Obispo by mountains and distance serving wealthy coastal corridor
CA-SANTACRUZ,Santa Cruz County,Santa Cruz,Dominican Hospital; Watsonville Community Hospital,CA,Regional,Coastal county separated from Bay Area by dangerous Highway 17 mountain crossing serving beach communities
CA-SANTAMARIA,North Santa Barbara,Santa Maria,Marian Regional Medical Center; Dignity Health,CA,Regional,North SB County between San Luis Obispo and Santa Barbara serving agricultural region separate from both
CA-STOCKTON,San Joaquin County,Stockton,St. Joseph's Medical Center; Dameron Hospital,CA,Regional,Northern Central Valley hub serving San Joaquin delta 50 miles south of Sacramento and 80 miles north of Modesto
CA-VISALIA,Tulare County,Visalia,Kaweah Health,CA,Regional,Southern Central Valley between Fresno and Bakersfield serving agricultural region 45 miles from both anchors
