market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
IL-CHICAGO-WEST,West Side,Chicago,Rush University Medical Center; Cook County Health; Loretto Hospital,IL,Core Metro,Austin Garfield Park West Town serving west city neighborhoods with Rush academic and safety net anchors
IL-PEORIA,Greater Peoria,Peoria,OSF HealthCare Saint Francis Medical Center; UnityPoint Health,IL,Regional,Central Illinois I-74 corridor hub serving Peoria County with dual anchor system separate from Springfield
IL-ROCKFORD,Northern Illinois,Rockford,OSF HealthCare Saint Anthony Medical Center; SwedishAmerican Hospital,IL,Regional,Northern hub 90 miles from Chicago serving Winnebago County with distinct anchors separate from metro
IL-SPRINGFIELD,Central Illinois Capital,Springfield,Memorial Health System; Hospital Sisters Health System,IL,Regional,State capital serving central region with dual system 100 miles from both Chicago and St. Louis
IN-BLOOMINGTON,South Central Indiana,Bloomington,IU Health Bloomington Hospital,IN,Regional,Southern Indiana serving Monroe County with Indiana University campus separate from Indianapolis
IN-EVANSVILLE,Southwest Indiana,Evansville,Ascension St. Vincent Evansville; Deaconess Health System,IN,Regional,Ohio River hub serving southwest corner 170 miles from Indianapolis with dual anchor system
IN-FORTWAYNE,Northeast Indiana,Fort Wayne,Parkview Health; Lutheran Health Network,IN,Regional,Northeast hub serving Allen County 120 miles from Indianapolis with competing anchor systems
IN-GARY,Northwest Indiana,Gary,Methodist Hospitals; Community Healthcare System,IN,Regional,Lake Michigan shore serving Gary Hammond East Chicago as separate market from Chicago metro despite 25-mile proximity
IN-INDIANAPOLIS,Greater Indianapolis,Indianapolis,IU Health; Ascension St. Vincent; Community Health Network,IN,Core Metro,State capital with IU Health academic anchor managing sprawl as single market with three major systems
IN-LAFAYETTE,Greater Lafayette,Lafayette,IU Health Arnett Hospital; Franciscan Health,IN,Regional,I-65 corridor serving Tippecanoe County with Purdue University separate from Indianapolis by 60+ miles
IN-SOUTHBEND,Michiana,South Bend,Beacon Health System,IN,Regional,Northern border near Michigan serving St. Joseph County with Notre Dame presence separate from both Indianapolis and Fort Wayne
IN-TERREHAUTE,Wabash Valley,Terre Haute,Union Hospital; Terre Haute Regional Hospital,IN,Regional,Western hub on Illinois border serving Vigo County separate from Indianapolis by distance
MI-ANNARBOR,Washtenaw County,Ann Arbor,Michigan Medicine; Trinity Health,MI,Regional,University of Michigan academic medical center 40 miles from Detroit managing as separate market with distinct identity
MI-DETROIT-CORE,Detroit Metro Core,Detroit,Henry Ford Health System; Detroit Medical Center; Ascension Michigan,MI,Core Metro,Wayne County downtown and Midtown serving city core with Henry Ford and DMC academic anchors
MI-DETROIT-DOWNRIVER,Downriver,Dearborn,Henry Ford Health System; Beaumont Health,MI,Suburban,South suburbs serving Dearborn Southgate Taylor with automotive manufacturing economy separate from core
MI-DETROIT-MACOMB,East Suburbs,Warren,Beaumont Health; Henry Ford Macomb Hospital,MI,Suburban,Macomb County serving Warren Sterling Heights east of Detroit with Beaumont and Henry Ford presence
MI-DETROIT-OAKLAND,North Suburbs,Troy,Beaumont Health; St. Joseph Mercy Oakland,MI,Suburban,Oakland County serving Troy Royal Oak Pontiac north of Detroit with Beaumont dominance
MI-FLINT,Greater Flint,Flint,McLaren Flint; Hurley Medical Center,MI,Regional,Genesee County 60 miles north of Detroit with water crisis legacy managing as separate market
MI-GRANDRAPIDS,West Michigan,Grand Rapids,Corewell Health; Trinity Health,MI,Regional,Western hub 150 miles from Detroit serving Kent County with furniture and manufacturing economy
MI-KALAMAZOO,Southwest Michigan,Kalamazoo,Ascension Borgess Hospital; Bronson Healthcare,MI,Regional,Southwest hub between Detroit and Chicago serving pharmaceutical manufacturing region with dual anchors
MI-LANSING,Michigan Capital,Lansing,Sparrow Health System; McLaren Greater Lansing,MI,Regional,State capital serving Ingham County 90 miles from Detroit with competing anchor systems
MI-MARQUETTE,Upper Peninsula,Marquette,UP Health System,MI,Regional,Upper Peninsula isolated from Lower Peninsula by Mackinac Straits serving northern mining and tourism region
MI-SAGINAW,East Central Michigan,Saginaw,Ascension St. Mary's; Covenant HealthCare,MI,Regional,Saginaw Bay area serving tri-cities region separate from both Detroit and Flint
MI-TRAVERSECITY,Northern Michigan,Traverse City,Munson Healthcare,MI,Regional,Northern Lower Peninsula serving Grand Traverse region with tourism economy separate from all southern markets
MN-DULUTH,Arrowhead Region,Duluth,Essentia Health; St. Luke's,MN,Regional,Lake Superior port 150 miles from Twin Cities serving northeast region with iron range and shipping economy
MN-MANKATO,South Central Minnesota,Mankato,Mayo Clinic Health System,MN,Regional,Southern Minnesota serving Blue Earth County on Minnesota River separate from Twin Cities and Rochester
MN-ROCHESTER,Southeast Minnesota,Rochester,Mayo Clinic,MN,Regional,World-renowned academic medical center 80 miles from Twin Cities managing as separate market despite tertiary draw
MN-STCLOUD,Central Minnesota,St. Cloud,CentraCare Health,MN,Regional,Central hub 70 miles from Twin Cities serving Stearns County with granite industry separate from metro
MN-TWINCITIES,Minneapolis-St. Paul,Minneapolis,HealthPartners; Allina Health; Fairview Health Services; Hennepin Healthcare,MN,Core Metro,Integrated dual-core metro spanning both cities via I-94 with systems operating regionally across Mississippi River
OH-AKRON,Greater Akron,Akron,Summa Health; Cleveland Clinic Akron General,OH,Regional,35 miles south of Cleveland via I-77 managing as separate market with Summa independence despite Cleveland Clinic presence
OH-CANTON,Stark County,Canton,Aultman Health Foundation; Mercy Medical Center,OH,Regional,Northeast Ohio between Cleveland and Akron serving manufacturing region with independent dual anchors
OH-CINCINNATI,Greater Cincinnati,Cincinnati,UC Health; TriHealth; Mercy Health,OH/KY,Core Metro,Integrated metro spanning Ohio River via I-75 bridges serving both Ohio and Northern Kentucky sides as single market
OH-CLEVELAND,Greater Cleveland,Cleveland,Cleveland Clinic; University Hospitals; MetroHealth System,OH,Core Metro,Cuyahoga County with world-renowned Cleveland Clinic and University Hospitals academic anchors managing sprawl as single market
OH-COLUMBUS,Greater Columbus,Columbus,OSU Wexner Medical Center; OhioHealth; Mount Carmel Health System,OH,Core Metro,State capital with OSU academic anchor managing sprawl as single market with three major systems
OH-DAYTON,Miami Valley,Dayton,Premier Health; Kettering Health,OH,Regional,Southwest Ohio I-75 corridor hub serving Montgomery County with aviation manufacturing economy and dual anchors
OH-TOLEDO,Northwest Ohio,Toledo,ProMedica; Mercy Health,OH,Regional,Lake Erie port serving Lucas County as land bridge between Cleveland and Detroit but separate from both by 60+ miles
OH-YOUNGSTOWN,Mahoning Valley,Youngstown,Mercy Health Youngstown; St. Elizabeth Youngstown Hospital,OH,Regional,Northeast corner near Pennsylvania border serving steel belt region with dual anchors separate from Cleveland
WI-APPLETON,Fox Cities,Appleton,ThedaCare; Ascension Wisconsin,WI,Regional,Fox River valley serving Outagamie County with paper industry separate from both Green Bay and Milwaukee
WI-EAUCLAIRE,West Central Wisconsin,Eau Claire,Mayo Clinic Health System; Marshfield Clinic Health System,WI,Regional,Western hub on I-94 corridor serving Chippewa Valley separate from Twin Cities despite proximity
WI-GREENBAY,Northeast Wisconsin,Green Bay,Bellin Health; HSHS; Advocate Aurora Health,WI,Regional,Lake Michigan hub 120 miles from Milwaukee serving Brown County with Packers economy and multiple anchors
WI-LACROSSE,Western Wisconsin,La Crosse,Gundersen Health System; Mayo Clinic Health System,WI,Regional,Mississippi River hub serving western counties near Minnesota border with dual Mayo and Gundersen presence
WI-MADISON,South Central Wisconsin,Madison,UW Health; SSM Health; UnityPoint Health,WI,Regional,State capital 80 miles from Milwaukee with UW academic anchor managing Dane County as single market
WI-MILWAUKEE,Greater Milwaukee,Milwaukee,Froedtert & Medical College of Wisconsin; Ascension Wisconsin; Advocate Aurora Health,WI,Core Metro,Lake Michigan metro with Froedtert academic anchor managing sprawl as single market despite lake effect snow
WI-WAUSAU,North Central Wisconsin,Wausau,Aspirus Wausau Hospital; Ascension Wisconsin,WI,Regional,Central hub serving Marathon County with logging and paper industry separate from all other markets
